config_id,jobs,work,cores_used,own_bus,sum_bus,t_solo_ms,t_mix_ms,slowdown_actual,slowdown_pred,abs_error
136,"POW:12:1,SUM:132:1,XPY:48:1,TGAMMA:60:1",XPY_48_c1,0,44.9,95.9,24058,68368,2.842,2.361,0.481
136,"POW:12:1,SUM:132:1,XPY:48:1,TGAMMA:60:1",TGAMMA_60_c1,5,4.0,95.9,33855,35030,1.035,1.063,0.028
137,"TGAMMA:120:2,XPY:60:2",TGAMMA_120_c2,"0,5",8.0,57.0,33894,35710,1.054,1.013,0.041
137,"TGAMMA:120:2,XPY:60:2",XPY_60_c2,"4,1",49.0,57.0,27541,32288,1.172,1.116,0.056
138,"ERF:48:1,XPY:48:3",ERF_48_c1,4,21.2,69.6,50880,140694,2.765,1.551,1.214
138,"ERF:48:1,XPY:48:3",XPY_48_c3,"1,0,5",48.4,69.6,22304,29038,1.302,1.325,0.023
139,"POW:24:2,SQRTX:12:1,XPY:60:1",POW_24_c2,"4,1",29.3,94.3,24606,44716,1.817,1.877,0.06
139,"POW:24:2,SQRTX:12:1,XPY:60:1",SQRTX_12_c1,5,19.8,94.3,9078,15457,1.703,1.928,0.225
139,"POW:24:2,SQRTX:12:1,XPY:60:1",XPY_60_c1,0,45.2,94.3,29859,76515,2.563,2.327,0.235
140,"POW:36:1,SUM:84:1,POW:24:1",POW_36_c1,1,15.0,62.0,72048,80371,1.116,1.171,0.055
140,"POW:36:1,SUM:84:1,POW:24:1",SUM_84_c1,0,32.0,62.0,19687,37106,1.885,1.702,0.183
140,"POW:36:1,SUM:84:1,POW:24:1",POW_24_c1,4,15.0,62.0,48124,57287,1.19,1.245,0.054
141,"POW:36:1,POW:24:1,TGAMMA:60:1,DOT:84:1",POW_36_c1,4,15.0,68.0,72048,100806,1.399,1.296,0.103
141,"POW:36:1,POW:24:1,TGAMMA:60:1,DOT:84:1",POW_24_c1,5,15.0,68.0,48124,53989,1.122,1.226,0.104
141,"POW:36:1,POW:24:1,TGAMMA:60:1,DOT:84:1",TGAMMA_60_c1,1,4.0,68.0,33855,34813,1.028,1.032,0.004
141,"POW:36:1,POW:24:1,TGAMMA:60:1,DOT:84:1",DOT_84_c1,0,34.0,68.0,37041,77343,2.088,1.78,0.308
142,"DOT:84:2,POW:36:1",DOT_84_c2,"0,1",40.1,55.1,31407,48040,1.53,1.148,0.382
142,"DOT:84:2,POW:36:1",POW_36_c1,5,15.0,55.1,72048,122474,1.7,1.164,0.536
143,"POW:36:1,TGAMMA:60:1",POW_36_c1,5,15.0,19.0,72048,71206,0.988,1.0,0.012
143,"POW:36:1,TGAMMA:60:1",TGAMMA_60_c1,0,4.0,19.0,33855,33847,1.0,1.0,0.0
144,"ERF:24:1,COPY:60:1,SQRTX:12:1,ERF:24:1",ERF_24_c1,0,21.2,95.0,25440,43291,1.702,1.95,0.248
144,"ERF:24:1,COPY:60:1,SQRTX:12:1,ERF:24:1",COPY_60_c1,1,32.8,95.0,27398,81722,2.983,2.991,0.008
144,"ERF:24:1,COPY:60:1,SQRTX:12:1,ERF:24:1",SQRTX_12_c1,5,19.8,95.0,9078,21142,2.329,2.013,0.316
144,"ERF:24:1,COPY:60:1,SQRTX:12:1,ERF:24:1",ERF_24_c1,4,21.2,95.0,25440,43079,1.693,1.95,0.256
145,"SQRTX:12:1,SUM:132:1",SQRTX_12_c1,5,19.8,51.8,9078,9808,1.08,1.192,0.111
145,"SQRTX:12:1,SUM:132:1",SUM_132_c1,0,32.0,51.8,30946,39543,1.278,1.313,0.035
146,"ERF:24:1,DOT:84:1,TGAMMA:120:1",ERF_24_c1,4,21.2,59.2,25440,29291,1.151,1.307,0.156
146,"ERF:24:1,DOT:84:1,TGAMMA:120:1",DOT_84_c1,1,34.0,59.2,37041,58616,1.582,1.49,0.093
146,"ERF:24:1,DOT:84:1,TGAMMA:120:1",TGAMMA_120_c1,5,4.0,59.2,67717,69434,1.025,1.029,0.004
147,"COPY:60:1,SQRTX:48:1,SUM:132:2",COPY_60_c1,1,32.8,92.7,27398,87601,3.197,2.927,0.27
147,"COPY:60:1,SQRTX:48:1,SUM:132:2",SQRTX_48_c1,0,19.9,92.7,36255,64035,1.766,1.928,0.162
147,"COPY:60:1,SQRTX:48:1,SUM:132:2",SUM_132_c2,"4,5",40.0,92.7,24731,60726,2.455,2.597,0.142
148,"DOT:36:1,POW:24:1",DOT_36_c1,1,34.0,49.0,15880,21076,1.327,1.324,0.003
148,"DOT:36:1,POW:24:1",POW_24_c1,5,15.0,49.0,48124,55764,1.159,1.149,0.01
149,"SQRTX:12:1,POW:36:2",SQRTX_12_c1,1,19.8,49.1,9078,10464,1.153,1.219,0.067
149,"SQRTX:12:1,POW:36:2",POW_36_c2,"0,5",29.3,49.1,36901,38079,1.032,1.0,0.032
150,"XPY:48:1,ERF:12:1",XPY_48_c1,1,44.9,66.1,24058,36136,1.502,1.607,0.105
150,"XPY:48:1,ERF:12:1",ERF_12_c1,4,21.2,66.1,12734,14345,1.127,1.418,0.291
151,"POW:12:1,DOT:36:1",POW_12_c1,0,15.0,49.0,23985,27112,1.13,1.07,0.061
151,"POW:12:1,DOT:36:1",DOT_36_c1,1,34.0,49.0,15880,19964,1.257,1.216,0.041
152,"SQRTX:12:1,TGAMMA:12:1,SQRTX:48:1",SQRTX_12_c1,4,19.8,43.7,9078,9738,1.073,1.08,0.007
152,"SQRTX:12:1,TGAMMA:12:1,SQRTX:48:1",TGAMMA_12_c1,0,4.0,43.7,6773,6845,1.011,1.01,0.001
152,"SQRTX:12:1,TGAMMA:12:1,SQRTX:48:1",SQRTX_48_c1,1,19.9,43.7,36255,38000,1.048,1.06,0.012
153,"TGAMMA:12:1,ERF:24:1,ERF:48:1",TGAMMA_12_c1,0,4.0,46.4,6773,6846,1.011,1.006,0.004
153,"TGAMMA:12:1,ERF:24:1,ERF:48:1",ERF_24_c1,5,21.2,46.4,25440,27596,1.085,1.204,0.119
153,"TGAMMA:12:1,ERF:24:1,ERF:48:1",ERF_48_c1,1,21.2,46.4,50880,55143,1.084,1.204,0.12
