config_id,jobs,work,cores_used,own_bus,sum_bus,t_solo_ms,t_mix_ms,slowdown_actual,slowdown_pred,abs_error
217,"XPY:48:3,TGAMMA:120:1",XPY_48_c3,"5,1,4",48.4,52.4,22304,28849,1.293,1.04,0.254
217,"XPY:48:3,TGAMMA:120:1",TGAMMA_120_c1,0,4.0,52.4,67717,73249,1.082,1.017,0.064
218,"TGAMMA:60:1,SUM:84:2",TGAMMA_60_c1,4,4.0,44.0,33855,35267,1.042,1.01,0.032
218,"TGAMMA:60:1,SUM:84:2",SUM_84_c2,"0,1",40.0,44.0,15752,17909,1.137,1.0,0.137
219,"POW:36:1,DOT:84:1",POW_36_c1,5,15.0,49.0,72048,81199,1.127,1.07,0.057
219,"POW:36:1,DOT:84:1",DOT_84_c1,4,34.0,49.0,37041,46636,1.259,1.216,0.043
220,"COPY:60:1,POW:36:1,ERF:12:1",COPY_60_c1,5,32.8,69.0,27398,55922,2.041,2.193,0.152
220,"COPY:60:1,POW:36:1,ERF:12:1",POW_36_c1,4,15.0,69.0,72048,77705,1.079,1.225,0.146
220,"COPY:60:1,POW:36:1,ERF:12:1",ERF_12_c1,1,21.2,69.0,12734,24158,1.897,1.621,0.276
221,"ERF:48:2,TGAMMA:60:2",ERF_48_c2,"4,5",40.0,48.0,26996,28442,1.054,1.0,0.054
221,"ERF:48:2,TGAMMA:60:2",TGAMMA_60_c2,"0,1",8.0,48.0,16972,17169,1.012,1.0,0.012
222,"DOT:84:1,POW:36:1,ERF:12:1",DOT_84_c1,4,34.0,70.2,37041,65893,1.779,1.877,0.099
222,"DOT:84:1,POW:36:1,ERF:12:1",POW_36_c1,1,15.0,70.2,72048,80639,1.119,1.234,0.115
222,"DOT:84:1,POW:36:1,ERF:12:1",ERF_12_c1,0,21.2,70.2,12734,23935,1.88,1.646,0.233
223,"ERF:12:1,ERF:12:1,COPY:60:2",ERF_12_c1,0,21.2,75.6,12734,31332,2.46,1.649,0.811
223,"ERF:12:1,ERF:12:1,COPY:60:2",ERF_12_c1,1,21.2,75.6,12734,31233,2.453,1.649,0.803
223,"ERF:12:1,ERF:12:1,COPY:60:2",COPY_60_c2,"4,5",33.2,75.6,27078,41492,1.532,1.701,0.169
224,"DOT:84:1,COPY:60:1,TGAMMA:60:1,COPY:84:1",DOT_84_c1,4,34.0,103.7,37041,123875,3.344,2.674,0.671
224,"DOT:84:1,COPY:60:1,TGAMMA:60:1,COPY:84:1",COPY_60_c1,5,32.8,103.7,27398,70150,2.56,3.105,0.544
224,"DOT:84:1,COPY:60:1,TGAMMA:60:1,COPY:84:1",TGAMMA_60_c1,1,4.0,103.7,33855,35725,1.055,1.07,0.014
224,"DOT:84:1,COPY:60:1,TGAMMA:60:1,COPY:84:1",COPY_84_c1,0,32.9,103.7,38335,131844,3.439,3.363,0.076
225,"ERF:12:1,DOT:36:1,TGAMMA:120:1,ERF:48:1",ERF_12_c1,1,21.2,80.4,12734,27766,2.18,1.803,0.377
225,"ERF:12:1,DOT:36:1,TGAMMA:120:1,ERF:48:1",DOT_36_c1,5,34.0,80.4,15880,33632,2.118,2.122,0.004
225,"ERF:12:1,DOT:36:1,TGAMMA:120:1,ERF:48:1",TGAMMA_120_c1,4,4.0,80.4,67717,69626,1.028,1.047,0.019
225,"ERF:12:1,DOT:36:1,TGAMMA:120:1,ERF:48:1",ERF_48_c1,0,21.2,80.4,50880,66423,1.305,1.666,0.36
226,"SUM:132:1,TGAMMA:120:1",SUM_132_c1,1,32.0,36.0,30946,32415,1.047,1.0,0.047
226,"SUM:132:1,TGAMMA:120:1",TGAMMA_120_c1,0,4.0,36.0,67717,68131,1.006,1.0,0.006
227,"COPY:84:2,ERF:12:1",COPY_84_c2,"0,5",33.2,54.4,37931,57039,1.504,1.121,0.383
227,"COPY:84:2,ERF:12:1",ERF_12_c1,1,21.2,54.4,12734,30898,2.426,1.31,1.116
228,"SUM:84:1,XPY:48:2",SUM_84_c1,5,32.0,80.7,19687,75822,3.851,2.272,1.579
228,"SUM:84:1,XPY:48:2",XPY_48_c2,"0,1",48.7,80.7,22157,32721,1.477,1.51,0.033
229,"POW:24:1,SUM:108:1,SUM:132:1",POW_24_c1,4,15.0,79.0,48124,55500,1.153,1.302,0.149
229,"POW:24:1,SUM:108:1,SUM:132:1",SUM_108_c1,1,32.0,79.0,25305,56229,2.222,2.286,0.063
229,"POW:24:1,SUM:108:1,SUM:132:1",SUM_132_c1,5,32.0,79.0,30946,68804,2.223,2.286,0.062
230,"TGAMMA:12:1,ERF:48:1",TGAMMA_12_c1,1,4.0,25.2,6773,6776,1.0,1.0,0.0
230,"TGAMMA:12:1,ERF:48:1",ERF_48_c1,0,21.2,25.2,50880,51461,1.011,1.0,0.011
231,"DOT:84:2,SQRTX:12:1,ERF:12:1",DOT_84_c2,"4,5",40.1,81.1,31407,47665,1.518,1.902,0.384
231,"DOT:84:2,SQRTX:12:1,ERF:12:1",SQRTX_12_c1,1,19.8,81.1,9078,20436,2.251,1.766,0.486
231,"DOT:84:2,SQRTX:12:1,ERF:12:1",ERF_12_c1,0,21.2,81.1,12734,29932,2.351,1.754,0.597
232,"POW:36:2,XPY:48:1,SUM:84:1",POW_36_c2,"0,5",29.3,106.2,36901,76654,2.077,2.113,0.035
232,"POW:36:2,XPY:48:1,SUM:84:1",XPY_48_c1,1,44.9,106.2,24058,72033,2.994,2.563,0.432
232,"POW:36:2,XPY:48:1,SUM:84:1",SUM_84_c1,4,32.0,106.2,19687,49603,2.52,2.781,0.261
233,"POW:12:1,TGAMMA:12:1",POW_12_c1,0,15.0,19.0,23985,23766,0.991,1.0,0.009
233,"POW:12:1,TGAMMA:12:1",TGAMMA_12_c1,5,4.0,19.0,6773,6770,1.0,1.0,0.0
234,"DOT:84:1,TGAMMA:60:3",DOT_84_c1,1,34.0,45.9,37041,46106,1.245,1.17,0.075
234,"DOT:84:1,TGAMMA:60:3",TGAMMA_60_c3,"5,4,0",11.9,45.9,11340,11529,1.017,1.0,0.017
235,"XPY:60:1,DOT:36:1,SQRTX:12:1",XPY_60_c1,4,45.2,99.0,29859,75006,2.512,2.535,0.023
235,"XPY:60:1,DOT:36:1,SQRTX:12:1",DOT_36_c1,0,34.0,99.0,15880,43265,2.724,2.653,0.071
235,"XPY:60:1,DOT:36:1,SQRTX:12:1",SQRTX_12_c1,1,19.8,99.0,9078,10049,1.107,1.932,0.825
236,"TGAMMA:120:1,TGAMMA:12:1",TGAMMA_120_c1,1,4.0,8.0,67717,67446,0.996,1.0,0.004
236,"TGAMMA:120:1,TGAMMA:12:1",TGAMMA_12_c1,4,4.0,8.0,6773,6753,0.997,1.0,0.003
237,"POW:36:2,ERF:12:1",POW_36_c2,"0,1",29.3,50.5,36901,39411,1.068,1.01,0.058
237,"POW:36:2,ERF:12:1",ERF_12_c1,4,21.2,50.5,12734,15434,1.212,1.238,0.026
238,"XPY:60:1,SUM:84:1,COPY:84:1,COPY:84:1",XPY_60_c1,5,45.2,143.0,29859,108528,3.635,3.398,0.237
238,"XPY:60:1,SUM:84:1,COPY:84:1,COPY:84:1",SUM_84_c1,4,32.0,143.0,19687,75227,3.821,3.733,0.088
238,"XPY:60:1,SUM:84:1,COPY:84:1,COPY:84:1",COPY_84_c1,1,32.9,143.0,38335,171870,4.483,4.587,0.103
238,"XPY:60:1,SUM:84:1,COPY:84:1,COPY:84:1",COPY_84_c1,0,32.9,143.0,38335,117500,3.065,4.473,1.408
239,"XPY:60:1,XPY:60:1,DOT:36:1",XPY_60_c1,0,45.2,124.4,29859,93950,3.146,3.037,0.11
239,"XPY:60:1,XPY:60:1,DOT:36:1",XPY_60_c1,1,45.2,124.4,29859,59451,1.991,2.835,0.844
239,"XPY:60:1,XPY:60:1,DOT:36:1",DOT_36_c1,4,34.0,124.4,15880,52606,3.313,3.171,0.142
240,"ERF:48:1,TGAMMA:12:3",ERF_48_c1,4,21.2,33.1,50880,52137,1.025,1.0,0.025
240,"ERF:48:1,TGAMMA:12:3",TGAMMA_12_c3,"1,5,0",11.9,33.1,2268,2271,1.001,1.0,0.001
241,"XPY:60:1,SQRTX:12:2",XPY_60_c1,0,45.2,83.8,29859,72984,2.444,2.147,0.297
241,"XPY:60:1,SQRTX:12:2",SQRTX_12_c2,"4,5",38.6,83.8,4659,11334,2.433,2.129,0.304
242,"DOT:84:1,COPY:84:1,ERF:48:1,SUM:132:1",DOT_84_c1,5,34.0,120.1,37041,135223,3.651,3.008,0.642
242,"DOT:84:1,COPY:84:1,ERF:48:1,SUM:132:1",COPY_84_c1,1,32.9,120.1,38335,143238,3.736,3.833,0.097
242,"DOT:84:1,COPY:84:1,ERF:48:1,SUM:132:1",ERF_48_c1,4,21.2,120.1,50880,98263,1.931,2.335,0.404
242,"DOT:84:1,COPY:84:1,ERF:48:1,SUM:132:1",SUM_132_c1,0,32.0,120.1,30946,85111,2.75,3.138,0.388
243,"DOT:36:1,ERF:48:1,XPY:60:1",DOT_36_c1,0,34.0,100.4,15880,24585,1.548,2.405,0.857
243,"DOT:36:1,ERF:48:1,XPY:60:1",ERF_48_c1,1,21.2,100.4,50880,155600,3.058,2.121,0.937
243,"DOT:36:1,ERF:48:1,XPY:60:1",XPY_60_c1,5,45.2,100.4,29859,85968,2.879,2.487,0.392
244,"ERF:48:1,COPY:84:1,POW:12:2",ERF_48_c1,0,21.2,83.4,50880,87763,1.725,1.765,0.04
244,"ERF:48:1,COPY:84:1,POW:12:2",COPY_84_c1,5,32.9,83.4,38335,116988,3.052,2.613,0.439
244,"ERF:48:1,COPY:84:1,POW:12:2",POW_12_c2,"4,1",29.3,83.4,12291,20818,1.694,1.661,0.032
245,"POW:36:2,XPY:48:1",POW_36_c2,"4,5",29.3,74.2,36901,56193,1.523,1.479,0.044
245,"POW:36:2,XPY:48:1",XPY_48_c1,0,44.9,74.2,24058,43580,1.811,1.897,0.086
246,"ERF:24:3,DOT:36:1",ERF_24_c3,"0,4,5",45.6,79.6,11853,19837,1.674,1.876,0.203
246,"ERF:24:3,DOT:36:1",DOT_36_c1,1,34.0,79.6,15880,35629,2.244,2.06,0.184
247,"TGAMMA:60:1,SUM:132:1",TGAMMA_60_c1,4,4.0,36.0,33855,34000,1.004,1.0,0.004
247,"TGAMMA:60:1,SUM:132:1",SUM_132_c1,1,32.0,36.0,30946,32431,1.048,1.0,0.048
248,"TGAMMA:12:1,SUM:132:1",TGAMMA_12_c1,5,4.0,36.0,6773,6814,1.006,1.0,0.006
248,"TGAMMA:12:1,SUM:132:1",SUM_132_c1,4,32.0,36.0,30946,32384,1.046,1.0,0.046
249,"SUM:84:2,TGAMMA:120:2",SUM_84_c2,"4,5",40.0,48.0,15752,18413,1.169,1.0,0.169
249,"SUM:84:2,TGAMMA:120:2",TGAMMA_120_c2,"0,1",8.0,48.0,33894,35339,1.043,1.0,0.043
250,"XPY:60:1,COPY:60:1",XPY_60_c1,4,45.2,78.0,29859,51439,1.723,2.112,0.39
250,"XPY:60:1,COPY:60:1",COPY_60_c1,0,32.8,78.0,27398,56181,2.051,2.722,0.672
251,"COPY:60:1,ERF:48:1",COPY_60_c1,0,32.8,54.0,27398,38352,1.4,1.687,0.287
251,"COPY:60:1,ERF:48:1",ERF_48_c1,4,21.2,54.0,50880,74951,1.473,1.381,0.092
252,"TGAMMA:60:1,ERF:24:1",TGAMMA_60_c1,5,4.0,25.2,33855,33828,0.999,1.0,0.001
252,"TGAMMA:60:1,ERF:24:1",ERF_24_c1,0,21.2,25.2,25440,25723,1.011,1.0,0.011
253,"SUM:84:1,POW:24:1",SUM_84_c1,5,32.0,47.0,19687,24316,1.235,1.185,0.05
253,"SUM:84:1,POW:24:1",POW_24_c1,4,15.0,47.0,48124,53184,1.105,1.054,0.051
254,"POW:36:2,ERF:48:2",POW_36_c2,"4,1",29.3,69.3,36901,46777,1.268,1.382,0.115
254,"POW:36:2,ERF:48:2",ERF_48_c2,"0,5",40.0,69.3,26996,43203,1.6,1.571,0.029
255,"TGAMMA:120:2,COPY:84:2",TGAMMA_120_c2,"0,5",8.0,41.2,33894,35495,1.047,1.0,0.047
255,"TGAMMA:120:2,COPY:84:2",COPY_84_c2,"4,1",33.2,41.2,37931,44746,1.18,1.0,0.18
256,"COPY:60:1,COPY:84:2,SQRTX:12:1",COPY_60_c1,4,32.8,85.8,27398,104916,3.829,2.7,1.13
256,"COPY:60:1,COPY:84:2,SQRTX:12:1",COPY_84_c2,"0,5",33.2,85.8,37931,73985,1.951,1.981,0.03
256,"COPY:60:1,COPY:84:2,SQRTX:12:1",SQRTX_12_c1,1,19.8,85.8,9078,20941,2.307,1.818,0.488
257,"XPY:60:1,SQRTX:12:1,POW:36:1",XPY_60_c1,4,45.2,80.0,29859,63719,2.134,2.035,0.099
257,"XPY:60:1,SQRTX:12:1,POW:36:1",SQRTX_12_c1,5,19.8,80.0,9078,9907,1.091,1.65,0.559
257,"XPY:60:1,SQRTX:12:1,POW:36:1",POW_36_c1,0,15.0,80.0,72048,125023,1.735,1.409,0.327
258,"XPY:48:1,ERF:24:1",XPY_48_c1,0,44.9,66.1,24058,36098,1.5,1.607,0.106
258,"XPY:48:1,ERF:24:1",ERF_24_c1,5,21.2,66.1,25440,28685,1.128,1.418,0.29
259,"DOT:84:3,TGAMMA:120:1",DOT_84_c3,"4,0,5",39.6,43.6,31858,40225,1.263,1.0,0.263
259,"DOT:84:3,TGAMMA:120:1",TGAMMA_120_c1,1,4.0,43.6,67717,70917,1.047,1.008,0.04
260,"TGAMMA:120:1,SQRTX:48:2,ERF:12:1",TGAMMA_120_c1,4,4.0,63.8,67717,69184,1.022,1.03,0.008
260,"TGAMMA:120:1,SQRTX:48:2,ERF:12:1",SQRTX_48_c2,"0,5",38.6,63.8,18647,33682,1.806,1.461,0.345
260,"TGAMMA:120:1,SQRTX:48:2,ERF:12:1",ERF_12_c1,1,21.2,63.8,12734,20942,1.645,1.473,0.171
261,"XPY:60:1,XPY:60:1,TGAMMA:12:1",XPY_60_c1,5,45.2,94.4,29859,55334,1.853,2.242,0.389
261,"XPY:60:1,XPY:60:1,TGAMMA:12:1",XPY_60_c1,4,45.2,94.4,29859,63274,2.119,2.266,0.147
261,"XPY:60:1,XPY:60:1,TGAMMA:12:1",TGAMMA_12_c1,0,4.0,94.4,6773,7103,1.049,1.065,0.016
262,"DOT:36:1,POW:24:3",DOT_36_c1,5,34.0,75.2,15880,38468,2.422,1.944,0.479
262,"DOT:36:1,POW:24:3",POW_24_c3,"4,1,0",41.2,75.2,17473,25524,1.461,1.499,0.038
263,"POW:12:1,POW:24:1,XPY:60:1",POW_12_c1,0,15.0,75.2,23985,29852,1.245,1.308,0.063
263,"POW:12:1,POW:24:1,XPY:60:1",POW_24_c1,4,15.0,75.2,48124,59583,1.238,1.308,0.07
263,"POW:12:1,POW:24:1,XPY:60:1",XPY_60_c1,5,45.2,75.2,29859,55888,1.872,1.818,0.053
264,"ERF:24:1,DOT:84:1,ERF:48:1",ERF_24_c1,4,21.2,76.4,25440,52167,2.051,1.746,0.305
264,"ERF:24:1,DOT:84:1,ERF:48:1",DOT_84_c1,0,34.0,76.4,37041,73905,1.995,2.026,0.031
264,"ERF:24:1,DOT:84:1,ERF:48:1",ERF_48_c1,5,21.2,76.4,50880,59263,1.165,1.582,0.418
265,"SQRTX:12:1,XPY:48:1",SQRTX_12_c1,0,19.8,64.7,9078,9877,1.088,1.401,0.313
265,"SQRTX:12:1,XPY:48:1",XPY_48_c1,1,44.9,64.7,24058,38251,1.59,1.574,0.016
266,"XPY:48:1,XPY:48:1",XPY_48_c1,5,44.9,89.8,24058,43677,1.815,2.152,0.336
266,"XPY:48:1,XPY:48:1",XPY_48_c1,0,44.9,89.8,24058,43706,1.817,2.152,0.335
267,"SUM:84:1,TGAMMA:12:2",SUM_84_c1,1,32.0,40.0,19687,21827,1.109,1.032,0.077
267,"SUM:84:1,TGAMMA:12:2",TGAMMA_12_c2,"4,5",8.0,40.0,3394,3433,1.011,1.0,0.011
268,"XPY:60:1,POW:24:1,ERF:48:2",XPY_60_c1,0,45.2,100.2,29859,78185,2.618,2.476,0.143
268,"XPY:60:1,POW:24:1,ERF:48:2",POW_24_c1,5,15.0,100.2,48124,62315,1.295,1.492,0.197
268,"XPY:60:1,POW:24:1,ERF:48:2",ERF_48_c2,"4,1",40.0,100.2,26996,69926,2.59,2.486,0.104
269,"COPY:84:1,ERF:12:1,TGAMMA:120:1,ERF:12:1",COPY_84_c1,5,32.9,79.3,38335,102411,2.671,2.541,0.13
269,"COPY:84:1,ERF:12:1,TGAMMA:120:1,ERF:12:1",ERF_12_c1,1,21.2,79.3,12734,29259,2.298,1.784,0.514
269,"COPY:84:1,ERF:12:1,TGAMMA:120:1,ERF:12:1",TGAMMA_120_c1,0,4.0,79.3,67717,69232,1.022,1.046,0.023
269,"COPY:84:1,ERF:12:1,TGAMMA:120:1,ERF:12:1",ERF_12_c1,4,21.2,79.3,12734,14934,1.173,1.648,0.475
270,"SUM:84:2,SQRTX:12:1",SUM_84_c2,"0,5",40.0,59.8,15752,25707,1.632,1.367,0.265
270,"SUM:84:2,SQRTX:12:1",SQRTX_12_c1,4,19.8,59.8,9078,16010,1.764,1.419,0.344
271,"XPY:60:1,ERF:48:1",XPY_60_c1,1,45.2,66.4,29859,45216,1.514,1.614,0.099
271,"XPY:60:1,ERF:48:1",ERF_48_c1,0,21.2,66.4,50880,57347,1.127,1.422,0.295
272,"DOT:84:2,TGAMMA:60:1,DOT:36:1",DOT_84_c2,"4,1",40.1,78.1,31407,60157,1.915,1.815,0.101
272,"DOT:84:2,TGAMMA:60:1,DOT:36:1",TGAMMA_60_c1,0,4.0,78.1,33855,35539,1.05,1.044,0.006
272,"DOT:84:2,TGAMMA:60:1,DOT:36:1",DOT_36_c1,5,34.0,78.1,15880,51505,3.243,2.059,1.185
273,"COPY:60:1,SUM:108:2",COPY_60_c1,1,32.8,72.8,27398,88784,3.241,2.309,0.931
273,"COPY:60:1,SUM:108:2",SUM_108_c2,"4,5",40.0,72.8,20247,49748,2.457,1.853,0.604
274,"ERF:24:1,ERF:48:1,COPY:60:1",ERF_24_c1,4,21.2,75.2,25440,54200,2.131,1.721,0.41
274,"ERF:24:1,ERF:48:1,COPY:60:1",ERF_48_c1,5,21.2,75.2,50880,57298,1.126,1.563,0.437
274,"ERF:24:1,ERF:48:1,COPY:60:1",COPY_60_c1,0,32.8,75.2,27398,64624,2.359,2.403,0.044
275,"XPY:48:1,SUM:84:1,COPY:60:1,XPY:48:1",XPY_48_c1,1,44.9,154.6,24058,91898,3.82,3.698,0.121
275,"XPY:48:1,SUM:84:1,COPY:60:1,XPY:48:1",SUM_84_c1,0,32.0,154.6,19687,76887,3.905,3.994,0.088
275,"XPY:48:1,SUM:84:1,COPY:60:1,XPY:48:1",COPY_60_c1,4,32.8,154.6,27398,82933,3.027,4.806,1.779
275,"XPY:48:1,SUM:84:1,COPY:60:1,XPY:48:1",XPY_48_c1,5,44.9,154.6,24058,92106,3.828,3.698,0.13
276,"POW:36:1,ERF:24:3",POW_36_c1,1,15.0,60.6,72048,92807,1.288,1.195,0.093
276,"POW:36:1,ERF:24:3",ERF_24_c3,"0,5,4",45.6,60.6,11853,14634,1.235,1.314,0.079
277,"TGAMMA:120:1,XPY:48:1,COPY:84:2",TGAMMA_120_c1,0,4.0,82.1,67717,70965,1.048,1.047,0.001
277,"TGAMMA:120:1,XPY:48:1,COPY:84:2",XPY_48_c1,5,44.9,82.1,24058,81262,3.378,2.095,1.283
277,"TGAMMA:120:1,XPY:48:1,COPY:84:2",COPY_84_c2,"4,1",33.2,82.1,37931,79942,2.108,1.88,0.228
278,"SUM:108:1,TGAMMA:120:1",SUM_108_c1,1,32.0,36.0,25305,26627,1.052,1.0,0.052
278,"SUM:108:1,TGAMMA:120:1",TGAMMA_120_c1,5,4.0,36.0,67717,68785,1.016,1.006,0.01
279,"XPY:48:1,DOT:84:1",XPY_48_c1,4,44.9,78.9,24058,40659,1.69,2.138,0.448
279,"XPY:48:1,DOT:84:1",DOT_84_c1,0,34.0,78.9,37041,68474,1.849,2.241,0.393
280,"SQRTX:12:1,TGAMMA:120:1,POW:36:1",SQRTX_12_c1,1,19.8,38.8,9078,9353,1.03,1.0,0.03
280,"SQRTX:12:1,TGAMMA:120:1,POW:36:1",TGAMMA_120_c1,5,4.0,38.8,67717,68142,1.006,1.005,0.002
280,"SQRTX:12:1,TGAMMA:120:1,POW:36:1",POW_36_c1,0,15.0,38.8,72048,73539,1.021,1.0,0.021
281,"SUM:132:1,SQRTX:48:1,XPY:60:1",SUM_132_c1,5,32.0,97.1,30946,93716,3.028,2.782,0.246
281,"SUM:132:1,SQRTX:48:1,XPY:60:1",SQRTX_48_c1,0,19.9,97.1,36255,40216,1.109,1.906,0.796
281,"SUM:132:1,SQRTX:48:1,XPY:60:1",XPY_60_c1,1,45.2,97.1,29859,66480,2.226,2.486,0.259
282,"XPY:60:1,ERF:12:1,TGAMMA:60:1",XPY_60_c1,1,45.2,70.4,29859,49814,1.668,1.707,0.038
282,"XPY:60:1,ERF:12:1,TGAMMA:60:1",ERF_12_c1,0,21.2,70.4,12734,14959,1.175,1.506,0.331
282,"XPY:60:1,ERF:12:1,TGAMMA:60:1",TGAMMA_60_c1,4,4.0,70.4,33855,34527,1.02,1.037,0.017
283,"COPY:84:1,DOT:36:1,POW:12:1",COPY_84_c1,1,32.9,81.9,38335,87454,2.281,2.414,0.133
283,"COPY:84:1,DOT:36:1,POW:12:1",DOT_36_c1,0,34.0,81.9,15880,37543,2.364,2.114,0.251
283,"COPY:84:1,DOT:36:1,POW:12:1",POW_12_c1,4,15.0,81.9,23985,36416,1.518,1.399,0.119
284,"ERF:12:3,SUM:132:1",ERF_12_c3,"5,4,0",45.6,77.6,5919,8102,1.369,1.817,0.448
284,"ERF:12:3,SUM:132:1",SUM_132_c1,1,32.0,77.6,30946,75237,2.431,2.117,0.314
285,"DOT:84:1,ERF:12:1",DOT_84_c1,4,34.0,55.2,37041,51207,1.382,1.365,0.018
285,"DOT:84:1,ERF:12:1",ERF_12_c1,5,21.2,55.2,12734,14691,1.154,1.243,0.09
286,"SQRTX:12:2,POW:24:1",SQRTX_12_c2,"0,1",38.6,53.6,4659,6809,1.461,1.12,0.341
286,"SQRTX:12:2,POW:24:1",POW_24_c1,4,15.0,53.6,48124,55228,1.148,1.15,0.003
287,"SUM:84:1,POW:12:1",SUM_84_c1,0,32.0,47.0,19687,24306,1.235,1.185,0.049
287,"SUM:84:1,POW:12:1",POW_12_c1,5,15.0,47.0,23985,26627,1.11,1.054,0.056
288,"POW:12:2,COPY:84:2",POW_12_c2,"4,5",29.3,62.5,12291,20941,1.704,1.248,0.456
288,"POW:12:2,COPY:84:2",COPY_84_c2,"0,1",33.2,62.5,37931,59754,1.575,1.343,0.233
289,"XPY:48:1,ERF:24:2",XPY_48_c1,0,44.9,84.9,24058,50420,2.096,2.173,0.078
289,"XPY:48:1,ERF:24:2",ERF_24_c2,"4,1",40.0,84.9,13494,30606,2.268,2.033,0.235
290,"TGAMMA:60:1,POW:12:1,POW:24:1,ERF:12:1",TGAMMA_60_c1,5,4.0,55.2,33855,34520,1.02,1.02,0.0
290,"TGAMMA:60:1,POW:12:1,POW:24:1,ERF:12:1",POW_12_c1,0,15.0,55.2,23985,27805,1.159,1.167,0.008
290,"TGAMMA:60:1,POW:12:1,POW:24:1,ERF:12:1",POW_24_c1,1,15.0,55.2,48124,51761,1.076,1.127,0.052
290,"TGAMMA:60:1,POW:12:1,POW:24:1,ERF:12:1",ERF_12_c1,4,21.2,55.2,12734,17315,1.36,1.315,0.045
291,"POW:12:1,COPY:60:1",POW_12_c1,0,15.0,47.8,23985,27322,1.139,1.137,0.002
291,"POW:12:1,COPY:60:1",COPY_60_c1,4,32.8,47.8,27398,37837,1.381,1.415,0.034
292,"ERF:48:1,XPY:48:2",ERF_48_c1,5,21.2,69.9,50880,139116,2.734,1.595,1.139
292,"ERF:48:1,XPY:48:2",XPY_48_c2,"0,1",48.7,69.9,22157,30915,1.395,1.33,0.065
293,"POW:24:2,TGAMMA:60:1",POW_24_c2,"4,5",29.3,33.3,24606,24466,0.994,1.0,0.006
293,"POW:24:2,TGAMMA:60:1",TGAMMA_60_c1,0,4.0,33.3,33855,33966,1.003,1.0,0.003
294,"ERF:12:1,ERF:24:2",ERF_12_c1,5,21.2,61.2,12734,18478,1.451,1.435,0.016
294,"ERF:12:1,ERF:24:2",ERF_24_c2,"4,1",40.0,61.2,13494,18468,1.369,1.332,0.037
295,"ERF:24:1,SUM:108:1",ERF_24_c1,5,21.2,53.2,25440,28768,1.131,1.211,0.08
295,"ERF:24:1,SUM:108:1",SUM_108_c1,0,32.0,53.2,25305,33964,1.342,1.35,0.008
296,"SQRTX:48:1,XPY:60:1",SQRTX_48_c1,4,19.9,65.1,36255,39274,1.083,1.408,0.325
296,"SQRTX:48:1,XPY:60:1",XPY_60_c1,1,45.2,65.1,29859,47499,1.591,1.584,0.007
297,"SUM:84:1,DOT:36:3",SUM_84_c1,5,32.0,71.5,19687,76373,3.879,1.939,1.94
297,"SUM:84:1,DOT:36:3",DOT_36_c3,"4,0,1",39.5,71.5,13678,17799,1.301,1.623,0.322
298,"XPY:48:1,SUM:108:1",XPY_48_c1,4,44.9,76.9,24058,45257,1.881,1.858,0.023
298,"XPY:48:1,SUM:108:1",SUM_108_c1,1,32.0,76.9,25305,38148,1.508,1.978,0.47
299,"POW:36:1,TGAMMA:60:1,TGAMMA:60:1,POW:36:1",POW_36_c1,0,15.0,38.0,72048,74494,1.034,1.0,0.034
299,"POW:36:1,TGAMMA:60:1,TGAMMA:60:1,POW:36:1",TGAMMA_60_c1,1,4.0,38.0,33855,34095,1.007,1.002,0.005
299,"POW:36:1,TGAMMA:60:1,TGAMMA:60:1,POW:36:1",TGAMMA_60_c1,4,4.0,38.0,33855,34087,1.007,1.002,0.004
299,"POW:36:1,TGAMMA:60:1,TGAMMA:60:1,POW:36:1",POW_36_c1,5,15.0,38.0,72048,74457,1.033,1.0,0.033
300,"ERF:24:1,SUM:84:1,POW:36:2",ERF_24_c1,0,21.2,82.5,25440,49319,1.939,1.75,0.188
300,"ERF:24:1,SUM:84:1,POW:36:2",SUM_84_c1,1,32.0,82.5,19687,49191,2.499,2.243,0.256
300,"ERF:24:1,SUM:84:1,POW:36:2",POW_36_c2,"4,5",29.3,82.5,36901,50523,1.369,1.643,0.274
301,"SQRTX:12:1,POW:36:1",SQRTX_12_c1,0,19.8,34.8,9078,9253,1.019,1.0,0.019
301,"SQRTX:12:1,POW:36:1",POW_36_c1,1,15.0,34.8,72048,72608,1.008,1.0,0.008
302,"TGAMMA:60:1,COPY:84:2,ERF:48:1",TGAMMA_60_c1,4,4.0,58.4,33855,35358,1.044,1.023,0.021
302,"TGAMMA:60:1,COPY:84:2,ERF:48:1",COPY_84_c2,"0,1",33.2,58.4,37931,57667,1.52,1.23,0.29
302,"TGAMMA:60:1,COPY:84:2,ERF:48:1",ERF_48_c1,5,21.2,58.4,50880,124772,2.452,1.374,1.078
303,"POW:36:1,COPY:84:3",POW_36_c1,0,15.0,48.2,72048,123862,1.719,1.089,0.63
303,"POW:36:1,COPY:84:3",COPY_84_c3,"1,4,5",33.2,48.2,37936,51234,1.351,1.0,0.351
304,"POW:36:1,TGAMMA:60:1,TGAMMA:12:1,COPY:84:1",POW_36_c1,1,15.0,55.9,72048,77604,1.077,1.133,0.055
304,"POW:36:1,TGAMMA:60:1,TGAMMA:12:1,COPY:84:1",TGAMMA_60_c1,4,4.0,55.9,33855,35065,1.036,1.026,0.01
